,medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,country_code,discipline_code,event,country,discipline
585,Bronze Medal,3,2021-07-29 00:00:00.0,WAGNER AM,WAGNER Anna-Maria,,../../../en/results/judo/athlete-profile-n1326845-wagner-anna-maria.htm,GER,JUD,Women -78 kg,Germany,Judo
586,Gold Medal,1,2021-07-29 00:00:00.0,Mc CARTHY F,Mc CARTHY Fintan,M,../../../en/results/rowing/athlete-profile-n1281625-mc-carthy-fintan.htm,IRL,ROW,Lightweight Men's Double Sculls,Ireland,Rowing
587,Gold Medal,1,2021-07-29 00:00:00.0,O'DONOVAN P,O'DONOVAN Paul,M,../../../en/results/rowing/athlete-profile-n1319846-o-donovan-paul.htm,IRL,ROW,Lightweight Men's Double Sculls,Ireland,Rowing
588,Silver Medal,2,2021-07-29 00:00:00.0,ROMMELMANN J,ROMMELMANN Jonathan,M,../../../en/results/rowing/athlete-profile-n1331598-rommelmann-jonathan.htm,GER,ROW,Lightweight Men's Double Sculls,Germany,Rowing
589,Silver Medal,2,2021-07-29 00:00:00.0,OSBORNE J,OSBORNE Jason,M,../../../en/results/rowing/athlete-profile-n1331591-osborne-jason.htm,GER,ROW,Lightweight Men's Double Sculls,Germany,
590,Bronze Medal,3,2021-07-29 00:00:00.0,OPPO S,OPPO Stefano,M,../../../en/results/rowing/athlete-profile-n1321393-oppo-stefano.htm,ITA,ROW,Lightweight Men's Double Sculls,Italy,Rowing
591,Bronze Medal,3,2021-07-29 00:00:00.0,RUTA P,RUTA Pietro,M,../../../en/results/rowing/athlete-profile-n1321413-ruta-pietro.htm,ITA,ROW,Lightweight Men's Double Sculls,Italy,
592,Gold Medal,1,2021-07-29 00:00:00.0,CESARINI F,CESARINI Federica,W,../../../en/results/rowing/athlete-profile-n1321401-cesarini-federica.htm,ITA,ROW,Lightweight Women's Double Sculls,Italy,
593,Gold Medal,1,2021-07-29 00:00:00.0,RODINI V,RODINI Valentina,W,../../../en/results/rowing/athlete-profile-n1321403-rodini-valentina.htm,ITA,ROW,Lightweight Women's Double Sculls,Italy,Rowing
594,Silver Medal,2,2021-07-29 00:00:00.0,BOVE C,BOVE Claire,W,../../../en/results/rowing/athlete-profile-n1325549-bove-claire.htm,FRA,ROW,Lightweight Women's Double Sculls,France,Rowing
595,Silver Medal,2,2021-07-29 00:00:00.0,TARANTOLA L,TARANTOLA Laura,W,../../../en/results/rowing/athlete-profile-n1325578-tarantola-laura.htm,FRA,ROW,Lightweight Women's Double Sculls,France,Rowing
596,Bronze Medal,3,2021-07-29 00:00:00.0,KEIJSER M,KEIJSER Marieke,W,../../../en/results/rowing/athlete-profile-n1476561-keijser-marieke.htm,NED,ROW,Lightweight Women's Double Sculls,Netherlands,Rowing
597,Bronze Medal,3,2021-07-29 00:00:00.0,PAULIS I,PAULIS Ilse,,../../../en/results/rowing/athlete-profile-n1476568-paulis-ilse.htm,NED,ROW,Lightweight Women's Double Sculls,Netherlands,Rowing
598,Gold Medal,1,2021-07-29 00:00:00.0,SINKOVIC M,SINKOVIC Martin,M,../../../en/results/rowing/athlete-profile-n1327804-sinkovic-martin.htm,CRO,ROW,Men's Pair,Croatia,Rowing
599,Gold Medal,1,2021-07-29 00:00:00.0,,SINKOVIC Valent,,../../../en/results/rowing/athlete-profile-n1456414-sinkovic-valent.htm,CRO,ROW,Men's Pair,Croatia,
600,Silver Medal,2,2021-07-29 00:00:00.0,COZMIUC M,COZMIUC Marius,,../../../en/results/rowing/athlete-profile-n1285995-cozmiuc-marius.htm,ROU,ROW,Men's Pair,Romania,Rowing
601,Silver Medal,2,2021-07-29 00:00:00.0,TUDOSA C,TUDOSA Ciprian,M,../../../en/results/rowing/athlete-profile-n1286099-tudosa-ciprian.htm,ROU,ROW,Men's Pair,Romania,Rowing
602,Bronze Medal,3,2021-07-29 00:00:00.0,,VYSTAVEL Frederic,M,../../../en/results/rowing/athlete-profile-n1366761-vystavel-frederic.htm,DEN,ROW,Men's Pair,Denmark,Rowing
603,Bronze Medal,3,2021-07-29 00:00:00.0,,SUTTON Joachim,,../../../en/results/rowing/athlete-profile-n1366762-sutton-joachim.htm,DEN,ROW,Men's Pair,Denmark,Rowing
604,Gold Medal,1,2021-07-29 00:00:00.0,PRENDERGAST G,PRENDERGAST Grace,,../../../en/results/rowing/athlete-profile-n1462962-prendergast-grace.htm,NZL,ROW,Women's Pair,New Zealand,Rowing
605,Gold Medal,1,2021-07-29 00:00:00.0,GOWLER K,GOWLER Kerri,W,../../../en/results/rowing/athlete-profile-n1462923-gowler-kerri.htm,NZL,ROW,Women's Pair,New Zealand,
606,Silver Medal,2,2021-07-29 00:00:00.0,ORIABINSKAIA E,ORIABINSKAIA Elena,,../../../en/results/rowing/athlete-profile-n1435251-oriabinskaia-elena.htm,ROC,ROW,Women's Pair,ROC,
607,Silver Medal,2,2021-07-29 00:00:00.0,,STEPANOVA Vasilisa,W,../../../en/results/rowing/athlete-profile-n1435265-stepanova-vasilisa.htm,ROC,ROW,Women's Pair,ROC,
608,Bronze Medal,3,2021-07-29 00:00:00.0,,JANSSENS Hillary,W,../../../en/results/rowing/athlete-profile-n1433265-janssens-hillary.htm,CAN,ROW,Women's Pair,Canada,Rowing
609,Bronze Medal,3,2021-07-29 00:00:00.0,FILMER C,FILMER Caileigh,,../../../en/results/rowing/athlete-profile-n1433259-filmer-caileigh.htm,CAN,ROW,Women's Pair,Canada,Rowing
610,Gold Medal,1,2021-07-29 00:00:00.0,LIPTAK J,LIPTAK Jiri,M,../../../en/results/shooting/athlete-profile-n1408572-liptak-jiri.htm,CZE,SHO,Trap Men,Czech Republic,Shooting
611,Silver Medal,2,2021-07-29 00:00:00.0,KOSTELECKY D,KOSTELECKY David,,../../../en/results/shooting/athlete-profile-n1408571-kostelecky-david.htm,CZE,SHO,Trap Men,Czech Republic,Shooting
612,Bronze Medal,3,2021-07-29 00:00:00.0,COWARD HOLLEY MJ,COWARD HOLLEY Matthew John,M,../../../en/results/shooting/athlete-profile-n1459202-coward-holley-matthew-john.htm,GBR,SHO,Trap Men,Great Britain,
613,Gold Medal,1,2021-07-29 00:00:00.0,,REHAK STEFECEKOVA Zuzana,,../../../en/results/shooting/athlete-profile-n1379850-rehak-stefecekova-zuzana.htm,SVK,SHO,Trap Women,Slovakia,
614,Silver Medal,2,2021-07-29 00:00:00.0,BROWNING K,BROWNING Kayle,W,../../../en/results/shooting/athlete-profile-n1335367-browning-kayle.htm,USA,SHO,Trap Women,United States of America,Shooting
615,Bronze Medal,3,2021-07-29 00:00:00.0,,PERILLI Alessandra,,../../../en/results/shooting/athlete-profile-n1291695-perilli-alessandra.htm,SMR,SHO,Trap Women,San Marino,
616,Gold Medal,1,2021-07-29 00:00:00.0,,DRESSEL Caeleb,,../../../en/results/swimming/athlete-profile-n1302244-dressel-caeleb.htm,USA,SWM,Men's 100m Freestyle,United States of America,Swimming
617,Silver Medal,2,2021-07-29 00:00:00.0,CHALMERS K,CHALMERS Kyle,M,../../../en/results/swimming/athlete-profile-n1482862-chalmers-kyle.htm,AUS,SWM,Men's 100m Freestyle,Australia,
618,Bronze Medal,3,2021-07-29 00:00:00.0,KOLESNIKOV K,KOLESNIKOV Kliment,,../../../en/results/swimming/athlete-profile-n1431507-kolesnikov-kliment.htm,ROC,SWM,Men's 100m Freestyle,ROC,
619,Gold Medal,1,2021-07-29 00:00:00.0,STUBBLETY-COOK I,STUBBLETY-COOK Izaac,,../../../en/results/swimming/athlete-profile-n1482875-stubblety-cook-izaac.htm,AUS,SWM,Men's 200m Breaststroke,Australia,Swimming
620,Silver Medal,2,2021-07-29 00:00:00.0,KAMMINGA A,KAMMINGA Arno,,../../../en/results/swimming/athlete-profile-n1467428-kamminga-arno.htm,NED,SWM,Men's 200m Breaststroke,Netherlands,Swimming
621,Bronze Medal,3,2021-07-29 00:00:00.0,,MATTSSON Matti,M,../../../en/results/swimming/athlete-profile-n1308801-mattsson-matti.htm,FIN,SWM,Men's 200m Breaststroke,Finland,Swimming
622,Gold Medal,1,2021-07-29 00:00:00.0,FINKE R,FINKE Robert,,../../../en/results/swimming/athlete-profile-n1302442-finke-robert.htm,USA,SWM,Men's 800m Freestyle,United States of America,
623,Silver Medal,2,2021-07-29 00:00:00.0,PALTRINIERI G,PALTRINIERI Gregorio,M,../../../en/results/swimming/athlete-profile-n1343289-paltrinieri-gregorio.htm,ITA,SWM,Men's 800m Freestyle,Italy,
624,Bronze Medal,3,2021-07-29 00:00:00.0,ROMANCHUK M,ROMANCHUK Mykhailo,M,../../../en/results/swimming/athlete-profile-n1451911-romanchuk-mykhailo.htm,UKR,SWM,Men's 800m Freestyle,Ukraine,Swimming
625,Gold Medal,1,2021-07-29 00:00:00.0,ZHANG Y,ZHANG Yufei,,../../../en/results/swimming/athlete-profile-n1311332-zhang-yufei.htm,CHN,SWM,Women's 200m Butterfly,People's Republic of China,Swimming
626,Silver Medal,2,2021-07-29 00:00:00.0,,SMITH Regan,,../../../en/results/swimming/athlete-profile-n1302447-smith-regan.htm,USA,SWM,Women's 200m Butterfly,United States of America,Swimming
627,Bronze Medal,3,2021-07-29 00:00:00.0,FLICKINGER H,FLICKINGER Hali,W,../../../en/results/swimming/athlete-profile-n1302275-flickinger-hali.htm,USA,SWM,Women's 200m Butterfly,United States of America,Swimming
628,Gold Medal,1,2021-07-29 00:00:00.0,YANG J,YANG Junxuan,W,../../../en/results/swimming/athlete-profile-n1310752-yang-junxuan.htm,CHN,SWM,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
629,Gold Medal,1,2021-07-29 00:00:00.0,ZHANG Y,ZHANG Yufei,,../../../en/results/swimming/athlete-profile-n1311332-zhang-yufei.htm,CHN,SWM,Women's 4 x 200m Freestyle Relay,People's Republic of China,
630,Gold Medal,1,2021-07-29 00:00:00.0,DONG J,DONG Jie,W,../../../en/results/swimming/athlete-profile-n1312611-dong-jie.htm,CHN,SWM,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
631,Gold Medal,1,2021-07-29 00:00:00.0,,ZHANG Yifan,,../../../en/results/swimming/athlete-profile-n1312640-zhang-yifan.htm,CHN,SWM,Women's 4 x 200m Freestyle Relay,People's Republic of China,
632,Gold Medal,1,2021-07-29 00:00:00.0,TANG M,TANG Muhan,W,../../../en/results/swimming/athlete-profile-n1315010-tang-muhan.htm,CHN,SWM,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
633,Gold Medal,1,2021-07-29 00:00:00.0,LI B,LI Bingjie,W,../../../en/results/swimming/athlete-profile-n1311341-li-bingjie.htm,CHN,SWM,Women's 4 x 200m Freestyle Relay,People's Republic of China,
634,Silver Medal,2,2021-07-29 00:00:00.0,MADDEN P,MADDEN Paige,W,../../../en/results/swimming/athlete-profile-n1302440-madden-paige.htm,USA,SWM,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
635,Silver Medal,2,2021-07-29 00:00:00.0,Mc LAUGHLIN K,Mc LAUGHLIN Kathryn,W,../../../en/results/swimming/athlete-profile-n1302302-mc-laughlin-kathryn.htm,USA,SWM,Women's 4 x 200m Freestyle Relay,United States of America,
636,Silver Medal,2,2021-07-29 00:00:00.0,SIMS A,SIMS Arabella,,../../../en/results/swimming/athlete-profile-n1393808-sims-arabella.htm,USA,SWM,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
637,Silver Medal,2,2021-07-29 00:00:00.0,LEDECKY K,LEDECKY Kathleen,W,../../../en/results/swimming/athlete-profile-n1302300-ledecky-kathleen.htm,USA,SWM,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
638,Silver Medal,2,2021-07-29 00:00:00.0,FORDE B,FORDE Brooke,,../../../en/results/swimming/athlete-profile-n1302237-forde-brooke.htm,USA,SWM,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
639,Silver Medal,2,2021-07-29 00:00:00.0,SCHMITT A,SCHMITT Allison,,../../../en/results/swimming/athlete-profile-n1302228-schmitt-allison.htm,USA,SWM,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
640,Bronze Medal,3,2021-07-29 00:00:00.0,THROSSELL B,THROSSELL Brianna,W,../../../en/results/swimming/athlete-profile-n1482878-throssell-brianna.htm,AUS,SWM,Women's 4 x 200m Freestyle Relay,Australia,
641,Bronze Medal,3,2021-07-29 00:00:00.0,WILSON M,WILSON Madison,,../../../en/results/swimming/athlete-profile-n1482879-wilson-madison.htm,AUS,SWM,Women's 4 x 200m Freestyle Relay,Australia,Swimming
642,Bronze Medal,3,2021-07-29 00:00:00.0,,O'CALLAGHAN Mollie,W,../../../en/results/swimming/athlete-profile-n1482917-o-callaghan-mollie.htm,AUS,SWM,Women's 4 x 200m Freestyle Relay,Australia,Swimming
643,Bronze Medal,3,2021-07-29 00:00:00.0,COOK T,COOK Tamsin,,../../../en/results/swimming/athlete-profile-n1699090-cook-tamsin.htm,AUS,SWM,Women's 4 x 200m Freestyle Relay,Australia,Swimming
644,Bronze Medal,3,2021-07-29 00:00:00.0,,HARRIS Meg,W,../../../en/results/swimming/athlete-profile-n1482907-harris-meg.htm,AUS,SWM,Women's 4 x 200m Freestyle Relay,Australia,Swimming
645,Bronze Medal,3,2021-07-29 00:00:00.0,TITMUS A,TITMUS Ariarne,,../../../en/results/swimming/athlete-profile-n1482877-titmus-ariarne.htm,AUS,SWM,Women's 4 x 200m Freestyle Relay,Australia,Swimming
646,Bronze Medal,3,2021-07-29 00:00:00.0,NEALE L,NEALE Leah,,../../../en/results/swimming/athlete-profile-n1482874-neale-leah.htm,AUS,SWM,Women's 4 x 200m Freestyle Relay,Australia,
647,Bronze Medal,3,2021-07-29 00:00:00.0,McKEON E,McKEON Emma,W,../../../en/results/swimming/athlete-profile-n1482869-mckeon-emma.htm,AUS,SWM,Women's 4 x 200m Freestyle Relay,Australia,
648,Gold Medal,1,2021-07-29 00:00:00.0,CHEN M,CHEN Meng,W,../../../en/results/table-tennis/athlete-profile-n1322041-chen-meng.htm,CHN,TTE,Women's Singles,People's Republic of China,Table Tennis
649,Silver Medal,2,2021-07-29 00:00:00.0,SUN Y,SUN Yingsha,,../../../en/results/table-tennis/athlete-profile-n1322049-sun-yingsha.htm,CHN,TTE,Women's Singles,People's Republic of China,
650,Bronze Medal,3,2021-07-29 00:00:00.0,ITO M,ITO Mima,W,../../../en/results/table-tennis/athlete-profile-n1316127-ito-mima.htm,JPN,TTE,Women's Singles,Japan,Table Tennis
651,Gold Medal,1,2021-07-30 00:00:00.0,AN S,AN San,,../../../en/results/archery/athlete-profile-n1338248-an-san.htm,KOR,ARC,Women's Individual,Republic of Korea,Archery
652,Silver Medal,2,2021-07-30 00:00:00.0,OSIPOVA E,OSIPOVA Elena,,../../../en/results/archery/athlete-profile-n1431749-osipova-elena.htm,ROC,ARC,Women's Individual,ROC,Archery
653,Bronze Medal,3,2021-07-30 00:00:00.0,BOARI L,BOARI Lucilla,,../../../en/results/archery/athlete-profile-n1413342-boari-lucilla.htm,ITA,ARC,Women's Individual,Italy,Archery
654,Gold Medal,1,2021-07-30 00:00:00.0,BAREGA S,BAREGA Selemon,M,../../../en/results/athletics/athlete-profile-n1351995-barega-selemon.htm,ETH,ATH,"Men's 10,000m",Ethiopia,Athletics
655,Silver Medal,2,2021-07-30 00:00:00.0,CHEPTEGEI J,CHEPTEGEI Joshua,M,../../../en/results/athletics/athlete-profile-n1450695-cheptegei-joshua.htm,UGA,ATH,"Men's 10,000m",Uganda,Athletics
656,Bronze Medal,3,2021-07-30 00:00:00.0,KIPLIMO J,KIPLIMO Jacob,,../../../en/results/athletics/athlete-profile-n1450741-kiplimo-jacob.htm,UGA,ATH,"Men's 10,000m",Uganda,
657,Gold Medal,1,2021-07-30 00:00:00.0,,WANG Yi Lyu,,../../../en/results/badminton/athlete-profile-n1350344-wang-yi-lyu.htm,CHN,BDM,Mixed Doubles,People's Republic of China,
658,Gold Medal,1,2021-07-30 00:00:00.0,HUANG Dong Ping,HUANG Dong Ping,X,../../../en/results/badminton/athlete-profile-n1350347-huang-dong-ping.htm,CHN,BDM,Mixed Doubles,People's Republic of China,
659,Silver Medal,2,2021-07-30 00:00:00.0,,ZHENG Si Wei,,../../../en/results/badminton/athlete-profile-n1350332-zheng-si-wei.htm,CHN,BDM,Mixed Doubles,People's Republic of China,Badminton
660,Silver Medal,2,2021-07-30 00:00:00.0,HUANG Ya Qiong,HUANG Ya Qiong,X,../../../en/results/badminton/athlete-profile-n1350338-huang-ya-qiong.htm,CHN,BDM,Mixed Doubles,People's Republic of China,Badminton
661,Bronze Medal,3,2021-07-30 00:00:00.0,WATANABE Y,WATANABE Yuta,X,../../../en/results/badminton/athlete-profile-n1313474-watanabe-yuta.htm,JPN,BDM,Mixed Doubles,Japan,
662,Bronze Medal,3,2021-07-30 00:00:00.0,HIGASHINO A,HIGASHINO Arisa,,../../../en/results/badminton/athlete-profile-n1313496-higashino-arisa.htm,JPN,BDM,Mixed Doubles,Japan,
663,Gold Medal,1,2021-07-30 00:00:00.0,PRSKAVEC J,PRSKAVEC Jiri,,../../../en/results/canoe-slalom/athlete-profile-n1402115-prskavec-jiri.htm,CZE,CSL,Men's Kayak,Czech Republic,Canoe Slalom
664,Silver Medal,2,2021-07-30 00:00:00.0,GRIGAR J,GRIGAR Jakub,M,../../../en/results/canoe-slalom/athlete-profile-n1387283-grigar-jakub.htm,SVK,CSL,Men's Kayak,Slovakia,Canoe Slalom
665,Bronze Medal,3,2021-07-30 00:00:00.0,AIGNER H,AIGNER Hannes,,../../../en/results/canoe-slalom/athlete-profile-n1333386-aigner-hannes.htm,GER,CSL,Men's Kayak,Germany,
666,Gold Medal,1,2021-07-30 00:00:00.0,KIMMANN N,KIMMANN Niek,M,../../../en/results/cycling-bmx-racing/athlete-profile-n1467925-kimmann-niek.htm,NED,BMX,Men,Netherlands,Cycling BMX Racing
667,Silver Medal,2,2021-07-30 00:00:00.0,WHYTE K,WHYTE Kye,,../../../en/results/cycling-bmx-racing/athlete-profile-n1474981-whyte-kye.htm,GBR,BMX,Men,Great Britain,
668,Bronze Medal,3,2021-07-30 00:00:00.0,RAMIREZ YEPES CA,RAMIREZ YEPES Carlos Alberto,M,../../../en/results/cycling-bmx-racing/athlete-profile-n1379634-ramirez-yepes-carlos-alberto.htm,COL,BMX,Men,Colombia,Cycling BMX Racing
669,Gold Medal,1,2021-07-30 00:00:00.0,,SHRIEVER Bethany,,../../../en/results/cycling-bmx-racing/athlete-profile-n1474974-shriever-bethany.htm,GBR,BMX,Women,Great Britain,Cycling BMX Racing
670,Silver Medal,2,2021-07-30 00:00:00.0,PAJON M,PAJON Mariana,W,../../../en/results/cycling-bmx-racing/athlete-profile-n1379630-pajon-mariana.htm,COL,BMX,Women,Colombia,Cycling BMX Racing
671,Bronze Medal,3,2021-07-30 00:00:00.0,,SMULDERS Merel,W,../../../en/results/cycling-bmx-racing/athlete-profile-n1467951-smulders-merel.htm,NED,BMX,Women,Netherlands,Cycling BMX Racing
672,Gold Medal,1,2021-07-30 00:00:00.0,MINOBE K,MINOBE Kazuyasu,,../../../en/results/fencing/athlete-profile-n1315113-minobe-kazuyasu.htm,JPN,FEN,Men's &Eacute;p&eacute;e Team,Japan,
673,Gold Medal,1,2021-07-30 00:00:00.0,KANO K,KANO Koki,,../../../en/results/fencing/athlete-profile-n1315114-kano-koki.htm,JPN,FEN,Men's &Eacute;p&eacute;e Team,Japan,Fencing
674,Gold Medal,1,2021-07-30 00:00:00.0,YAMADA M,YAMADA Masaru,,../../../en/results/fencing/athlete-profile-n1315115-yamada-masaru.htm,JPN,FEN,Men's &Eacute;p&eacute;e Team,Japan,Fencing
675,Gold Medal,1,2021-07-30 00:00:00.0,UYAMA S,UYAMA Satoru,M,../../../en/results/fencing/athlete-profile-n1315116-uyama-satoru.htm,JPN,FEN,Men's &Eacute;p&eacute;e Team,Japan,
676,Silver Medal,2,2021-07-30 00:00:00.0,BIDA S,BIDA Sergey,M,../../../en/results/fencing/athlete-profile-n1428184-bida-sergey.htm,ROC,FEN,Men's &Eacute;p&eacute;e Team,ROC,Fencing
677,Silver Medal,2,2021-07-30 00:00:00.0,KHODOS S,KHODOS Sergey,,../../../en/results/fencing/athlete-profile-n1428185-khodos-sergey.htm,ROC,FEN,Men's &Eacute;p&eacute;e Team,ROC,Fencing
678,Silver Medal,2,2021-07-30 00:00:00.0,,SUKHOV Pavel,,../../../en/results/fencing/athlete-profile-n1428186-sukhov-pavel.htm,ROC,FEN,Men's &Eacute;p&eacute;e Team,ROC,Fencing
679,Silver Medal,2,2021-07-30 00:00:00.0,GLAZKOV N,GLAZKOV Nikita,M,../../../en/results/fencing/athlete-profile-n1428187-glazkov-nikita.htm,ROC,FEN,Men's &Eacute;p&eacute;e Team,ROC,Fencing
680,Bronze Medal,3,2021-07-30 00:00:00.0,,KWEON Youngjun,,../../../en/results/fencing/athlete-profile-n1407976-kweon-youngjun.htm,KOR,FEN,Men's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
681,Bronze Medal,3,2021-07-30 00:00:00.0,PARK S,PARK Sangyoung,M,../../../en/results/fencing/athlete-profile-n1335656-park-sangyoung.htm,KOR,FEN,Men's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
682,Bronze Medal,3,2021-07-30 00:00:00.0,MA S,MA Segeon,M,../../../en/results/fencing/athlete-profile-n1335658-ma-segeon.htm,KOR,FEN,Men's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
683,Bronze Medal,3,2021-07-30 00:00:00.0,,SONG Jaeho,M,../../../en/results/fencing/athlete-profile-n1335660-song-jaeho.htm,KOR,FEN,Men's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
684,Gold Medal,1,2021-07-30 00:00:00.0,KRPALEK L,KRPALEK Lukas,M,../../../en/results/judo/athlete-profile-n1408640-krpalek-lukas.htm,CZE,JUD,Men +100 kg,Czech Republic,Judo
